Year,Car,Model,Kilometers,Fuel,Transmission,City Code,Price
2023,Maruti,IGNIS ,12.86k,Petrol,Auto,KA-03,₹6.27 lakh
2015,Hyundai,Grand i10,59.37k,Petrol,Manual,KA-01,₹3.75 lakh
2015,Maruti,Celerio ,90.41k,Petrol,Auto,KA-05,₹2.99 lakh
2018,Honda,Jazz ,61.38k,Petrol,Manual,KA-01,₹4.70 lakh
2014,Maruti,Alto 800,29.29k,Petrol,Manual,AP-09,₹1.99 lakh
2016,Maruti,Alto 800,51.29k,Petrol,Manual,TS-01,₹1.50 lakh
2018,Tata,Tiago ,57.41k,Petrol,Manual,TS-32,₹3.90 lakh
2017,Tata,Tiago ,93.79k,Petrol,Manual,TS-07,₹3.29 lakh
2013,Hyundai,Eon ,58.10k,Petrol,Manual,AP-28,₹1.77 lakh
2015,Hyundai,Grand i10,1.3l,Diesel,Manual,TS-07,₹2.82 lakh
2016,Hyundai,Elite i20,70.06k,Petrol,Manual,TS-08,₹4.59 lakh
2020,Maruti, Wagon-R,86.50k,Petrol,Auto,TS-08,₹4.50 lakh
2016,Nissan,Micra Active,61.81k,Petrol,Manual,TS-07,₹2.77 lakh
2020,Maruti,Baleno ,62.78k,Petrol,Manual,TS-10,₹5.30 lakh
2018,Maruti,Baleno ,39.56k,Petrol,Manual,TS-07,₹4.90 lakh
2017,Hyundai,Grand i10,76.74k,Diesel,Manual,TS-15,₹3.45 lakh
2022,Tata,ALTROZ ,46.24k,Petrol,Manual,TS-07,₹5.23 lakh
2018,Maruti,Swift ,47.51k,Petrol,Auto,TS-09,₹4.45 lakh
2015,Maruti,Swift ,83.74k,Diesel,Manual,TS-10,₹3.99 lakh
2015,Hyundai,Grand i10,73.83k,Petrol,Manual,TS-07,₹3.48 lakh
2019,Tata,Tiago ,71.60k,Petrol,Manual,TS-08,₹3.90 lakh
2014,Hyundai,Grand i10,75.20k,Petrol,Manual,TS-09,₹3.45 lakh
2019,Hyundai,Elite i20,72.09k,Petrol,Manual,TS-07,₹5.60 lakh
2014,Maruti,Wagon R,93.28k,Petrol,Manual,TS-09,₹2.27 lakh
2016,Maruti,Celerio ,57.29k,Petrol,Auto,TS-07,₹3.30 lakh
2018,Maruti,Alto 800,43.04k,Petrol,Manual,TS-15,₹2.48 lakh
2021,Maruti,Baleno ,91.85k,Petrol,Manual,TS-08,₹5.40 lakh
2014,Maruti,Alto 800,93.72k,Petrol,Manual,TS-07,₹1.31 lakh
2015,Maruti,Alto K10,84.20k,Petrol,Manual,TS-10,₹1.44 lakh
2018,Maruti,Celerio X,61.07k,Petrol,Auto,TS-26,₹3.94 lakh
2018,Maruti,Celerio ,1.5l,CNG,Manual,TS-08,₹3.20 lakh
2019,Hyundai,Grand i10,45.65k,Petrol,Manual,TS-07,₹4.40 lakh
2015,Maruti,Alto K10,89.26k,Petrol,Manual,TS-10,₹1.56 lakh
2015,Maruti,Swift ,1.0l,Petrol,Manual,TS-10,₹2.65 lakh
2017,Maruti,Alto 800,69.64k,Petrol,Manual,TS-07,₹1.61 lakh
2021,Hyundai, SANTRO,54.53k,Petrol,Manual,TS-05,₹4.00 lakh
